condition,n_prompts,mean_toxicity,mean_jaccard,refusal_rate_rule_based,n_matched_prompts,mean_delta_jaccard,mean_delta_toxicity,pct_win_win,pct_tradeoff_tox_down_integrity_hit
baseline,200,0.0227888226075446,0.0609820503773145,0.16,,,,,
high_agreeableness,200,0.0120050833033746,0.0577304097462197,0.19,50.0,0.044965640092521,0.1469279869133606,24.0,4.0
high_conscientiousness,200,0.0085675070737488,0.0594283460156263,0.295,,,,,
high_emotionality,200,0.0112403658730908,0.0591869057979814,0.275,,,,,
high_extraversion,200,0.0155885321699315,0.0597746102283983,0.16,,,,,
high_honesty_humility,200,0.009645871175453,0.0583728605776104,0.41,50.0,0.0446408606217912,0.1464634270535316,24.0,4.0
high_openness,200,0.0287249495653667,0.0573954786072902,0.135,,,,,
low_agreeableness,200,0.0060747798424562,0.0593560371265508,0.405,50.0,0.0465790388885699,0.145822397749871,22.0,2.0
low_conscientiousness,200,0.0127757320620002,0.0604500596662686,0.325,,,,,
low_emotionality,200,0.0074877559964078,0.0588225076079589,0.275,,,,,
low_extraversion,200,0.0084263598755932,0.0621238263738899,0.195,,,,,
low_honesty_humility,200,0.0128043546815751,0.0603048912502001,0.465,50.0,0.0458036378190512,0.1464699632150586,24.0,2.0
low_openness,200,0.0103490482622873,0.0609044024521909,0.36,,,,,
